Season,recipe,cohort,games,brier
2016,anchor,early_pod_top4_eligibility,32,0.078079536633951285
2016,anchor,other_pair,31,0.25368028563536565
2016,host_context,early_pod_top4_eligibility,32,0.086410327225609207
2016,host_context,other_pair,31,0.24770415295407228
2016,host_context_scaled,early_pod_top4_eligibility,32,0.087437036630825291
2016,host_context_scaled,other_pair,31,0.24746852511944248
2016,seed_status,early_pod_top4_eligibility,32,0.079602223206168526
2016,seed_status,other_pair,31,0.24989341572253476
2017,anchor,early_pod_top4_eligibility,32,0.076308975643043495
2017,anchor,other_pair,31,0.18734611746845803
2017,host_context,early_pod_top4_eligibility,32,0.073989308356713357
2017,host_context,other_pair,31,0.18881290770649842
2017,host_context_scaled,early_pod_top4_eligibility,32,0.073794022152914071
2017,host_context_scaled,other_pair,31,0.18889103247000638
2017,seed_status,early_pod_top4_eligibility,32,0.075460583900596526
2017,seed_status,other_pair,31,0.18940687472392642
2018,anchor,early_pod_top4_eligibility,32,0.10602630251224081
2018,anchor,other_pair,31,0.20281020024998464
2018,host_context,early_pod_top4_eligibility,32,0.10576719924046464
2018,host_context,other_pair,31,0.20002257562763021
2018,host_context_scaled,early_pod_top4_eligibility,32,0.10573206057388013
2018,host_context_scaled,other_pair,31,0.1999009085853293
2018,seed_status,early_pod_top4_eligibility,32,0.10568805228855983
2018,seed_status,other_pair,31,0.20164719349135915
2019,anchor,early_pod_top4_eligibility,32,0.098907952838818411
2019,anchor,other_pair,31,0.195128178918168
2019,host_context,early_pod_top4_eligibility,32,0.097696385268775207
2019,host_context,other_pair,31,0.19946373302544676
2019,host_context_scaled,early_pod_top4_eligibility,32,0.097848240273975456
2019,host_context_scaled,other_pair,31,0.19963924431270549
2019,seed_status,early_pod_top4_eligibility,32,0.098028749541187427
2019,seed_status,other_pair,31,0.1979099406793397
